ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6439524,"1120",3,192,103,300000,6/6/2016,593,2,"House","RUE  DES  PRES  COMMUNS  26 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6431897,"1120",3,165,,269000,6/1/2016,970,4,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6431896,"1120",2,70,,172500,6/1/2016,149,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6430006,"1120",2,90,,215000,5/31/2016,428,7,"House","1120    NederOverHembeek ","Neder-Over-Heembeek"
6429739,"1120",2,51,,129000,5/31/2016,467,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6421147,"1120",2,105,,15000,5/26/2016,1232,10,"Apartment","Quartier  PAGODES   1120    NederoverHeembeek ","Neder-Over-Heembeek"
6420976,"1120",3,160,290,320000,5/26/2016,1548,19,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6420975,"1120",3,165,210,299000,5/26/2016,1970,20,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6413226,"1120",5,,,0,5/24/2016,393,4,"House","Laskouter  84 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6413208,"1120",5,,,0,5/24/2016,494,3,"House","Laskouter   82 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6412660,"1120",3,,204,0,5/24/2016,2103,20,"House","Rue  des  Fanes  38 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6410595,"1120",2,90,,189000,5/24/2016,478,5,"Apartment","Oorlogskruisenlaan  212 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6401331,"1120",2,95,,225000,5/18/2016,306,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6396468,"1120",4,180,350,350000,5/14/2016,1608,16,"House","avenue  du  Roi  Albert  27 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6392497,"1120",2,90,60,219000,5/12/2016,1408,1,"House","Frans  Vekemansstraat  14 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6387875,"1120",2,90,,180000,5/10/2016,1664,16,"Apartment","rue  de  Lombartzyde  23 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6386958,"1120",3,125,,259000,5/11/2016,804,16,"Apartment","Rue  des  Bons  Enfants   1120    NederoverHeembeek ","Neder-Over-Heembeek"
6386845,"1120",2,71,,145000,5/10/2016,1612,19,"Apartment","1120    BRUXELLES ","Neder-Over-Heembeek"
6386177,"1120",2,90,,235000,5/9/2016,328,5,"Apartment","rue  des  fanes  219 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6385003,"1120",2,92,,200000,5/9/2016,1181,16,"Apartment","1120    NEDEROVERHEMBEEK ","Neder-Over-Heembeek"
